"applicationNumber","documentId","date","title","phase","pages"
"EP18885399","E4ZVBH6P3273DSU","10.07.2020","Communication to designated inventor","Search / examination","1"
"EP18885399","E4ZVCG4N5826DSU","10.07.2020","Communication to designated inventor","Search / examination","1"
"EP18885399","E4VD7WO10689DSU","05.06.2020","Notification of the recording of a change","Search / examination","1"
"EP18885399","E4VD7WOY3250DSU","05.06.2020","Notification of the recording of a change","Search / examination","1"
"EP18885399","E4T85IN39710DSU","28.05.2020","(Electronic) Receipt","Search / examination","1"
"EP18885399","E4T85IKB3788DSU","28.05.2020","Request for entry into the European phase","Search / examination","5"
"EP18885399","E4NU7WN09489DSU","17.04.2020","Information on entry into European phase","Search / examination","4"
"EP18885399","E3NXCUQA2792DSU","06.08.2019","Notification of election of EPO","Search / examination","1"
"EP18885399","E3IW278Y9161DSU","02.07.2019","Priority document (electronically transmitted)","Search / examination","248"
"EP18885399","E3IW278W7777DSU","02.07.2019","Priority document (electronically transmitted)","Search / examination","233"
"EP18885399","E3GXB7K66556DSU","13.06.2019","Copy of the international search report","Search / examination","3"
"EP18885399","E3GXB7K62564DSU","13.06.2019","Published international application - A1","Search / examination","237"
